id,filename,pattern,checksum,uri
t1,G2_B1_F_R1_Gpb5_488_Eh_546_CCAP_669_1x.czi,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/022724_PPS_Atlas_R1/Gel2/G2_B1_F_R1_Gpb5_488_Eh_546_CCAP_669_1x.czi
t1,G2_B1_R1_3x5.mvl,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/022724_PPS_Atlas_R1/Gel2/G2_B1_R1_3x5.mvl
t2,G2_B1_F_R2_CCHa1_488_ILP7_546_RyA_669_1x.czi,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/030524_PPS_Atlas_R2/Gel2/G2_B1_F_R2_CCHa1_488_ILP7_546_RyA_669_1x.czi
t2,G2B1_R2_3x5.mvl,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/030524_PPS_Atlas_R2/Gel2/G2B1_R2_3x5.mvl
t3,G2_B1_F_R3_SiFA_488_CNMa_546_Crz_669_1x.czi,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/031224_PPS_Atlas_R3/Gel2/G2_B1_F_R3_SiFA_488_CNMa_546_Crz_669_1x.czi
t3,G2_Brain1_R3_3x5.mvl,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/031224_PPS_Atlas_R3/Gel2/G2_Brain1_R3_3x5.mvl
t4,G2_B1_F_R4_Proc_488_Lk_546_Ms_669_1x.czi,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/031924_PPS_Atlas_R4/Gel2/G2_B1_F_R4_Proc_488_Lk_546_Ms_669_1x.czi
t4,G2B1_R4_3x5.mvl,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/031924_PPS_Atlas_R4/Gel2/G2B1_R4_3x5.mvl
t5,G2_B1_F_R5_NPF_488_FMRFa_546_Mip_669_1x.czi,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/032624_PPS_Atlas_R5/Gel2R5/G2_B1_F_R5_NPF_488_FMRFa_546_Mip_669_1x.czi
t5,G2Brain1_R5_3x5.mvl,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/032624_PPS_Atlas_R5/Gel2R5/G2Brain1_R5_3x5.mvl
